Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
696ee697057f8fdf9bcc0012,66045663fbc92e11eb7e557c,AWAITING REVIEW,Not Applicable,2026-01-20T02:21:14.385000Z,2026-01-20T02:34:32.137000Z,,2026-01-20T02:34:32.478512Z,798.0,2B73928C,1971,51,Female,White,United States,United States,United States,English,No,Part-Time
696ee889866ef87b1b1ace15,66b73f9ba035651170b94c76,AWAITING REVIEW,Not Applicable,2026-01-20T02:29:41.042000Z,2026-01-20T02:42:16.674000Z,,2026-01-20T02:42:16.993631Z,756.0,2B73928C,3741,43,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
696ee9728e6dab8a6bf22e68,5c3282eb47817b0001581512,AWAITING REVIEW,Not Applicable,2026-01-20T02:33:29.973000Z,2026-01-20T02:56:38.773000Z,,2026-01-20T02:56:39.126464Z,1389.0,2B73928C,2420,38,Male,Black,United States,United States,United States,English,No,Other
696eea54742ed402d5a2cacc,695fcdcbf4432875f5479cd7,AWAITING REVIEW,Not Applicable,2026-01-20T02:37:12.608000Z,2026-01-20T03:16:02.129000Z,,2026-01-20T03:16:02.483352Z,2330.0,2B73928C,206,22,Male,Asian,United States,United States,DATA_EXPIRED,English,Yes,Part-Time
696eea6308dd11451f76005d,605ab9d5c01d0b0fc69930c5,AWAITING REVIEW,Not Applicable,2026-01-20T02:38:45.738000Z,2026-01-20T02:56:32.783000Z,,2026-01-20T02:56:33.108130Z,1068.0,2B73928C,3497,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
696eec1bb81c38a877512074,5d1c0e818d27eb0016164015,AWAITING REVIEW,Not Applicable,2026-01-20T02:44:52.885000Z,2026-01-20T02:59:00.632000Z,,2026-01-20T02:59:00.967700Z,848.0,2B73928C,3029,30,Male,White,United States,United States,United States,English,No,Full-Time
696eec613ff302ac2b7f8922,691e201122ecfe4b850e3308,AWAITING REVIEW,Not Applicable,2026-01-20T02:46:02.239000Z,2026-01-20T03:02:34.100000Z,,2026-01-20T03:02:34.446779Z,992.0,2B73928C,165,33,Male,White,United States,United States,DATA_EXPIRED,English,Yes,Part-Time
696eeef10a8fba3f474766f2,694f50766aba30210e26eb55,AWAITING REVIEW,Not Applicable,2026-01-20T02:57:06.508000Z,2026-01-20T03:12:23.839000Z,,2026-01-20T03:12:24.206840Z,918.0,2B73928C,154,27,Male,White,United States,United States,United States,English,No,Unemployed (and job seeking)
696eeff28962035d9f484ef6,694163cd8dce97079e97bd07,AWAITING REVIEW,Not Applicable,2026-01-20T03:01:22.150000Z,2026-01-20T03:17:06.933000Z,,2026-01-20T03:17:07.278230Z,945.0,2B73928C,732,43,Female,Black,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
696ef0aaf3f61960c85bd91a,5d6349209b22da000117b1bd,AWAITING REVIEW,Not Applicable,2026-01-20T03:04:13.911000Z,2026-01-20T03:19:20.992000Z,,2026-01-20T03:19:21.321823Z,908.0,2B73928C,10491,43,Male,DATA_EXPIRED,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
696ef1ae217a6b17024396d5,69600eb2dfd0bc91f66b2d9b,AWAITING REVIEW,Not Applicable,2026-01-20T03:08:45.960000Z,2026-01-20T03:27:03.526000Z,,2026-01-20T03:27:03.862539Z,1098.0,2B73928C,15,59,Female,White,United States,United States,DATA_EXPIRED,English,No,Part-Time
696ef41545aaaf6d482e075f,5f4412624052727181839e3a,AWAITING REVIEW,Not Applicable,2026-01-20T03:19:08.278000Z,2026-01-20T03:33:21.764000Z,,2026-01-20T03:33:22.120318Z,854.0,2B73928C,3444,27,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
696ef5f60b50f467de70831e,675a1c9c5cac55bc951ff999,AWAITING REVIEW,Not Applicable,2026-01-20T03:26:49.534000Z,2026-01-20T03:41:41.636000Z,,2026-01-20T03:41:41.965716Z,893.0,2B73928C,1522,54,Female,White,United States,United States,United States,English,No,Unemployed (and job seeking)
696ef6c2b80e4d348ad80117,669f0372343e26023ee5c023,AWAITING REVIEW,Not Applicable,2026-01-20T03:30:38.957000Z,2026-01-20T04:03:06.395000Z,,2026-01-20T04:03:06.728629Z,1948.0,2B73928C,1824,69,Female,Black,United States,United States,United States,English,No,Full-Time
696ef6c69d4a1989913cd0a1,695fc4e377dae78868cec1d5,AWAITING REVIEW,Not Applicable,2026-01-20T03:30:21.425000Z,2026-01-20T03:51:15.834000Z,,2026-01-20T03:51:16.228049Z,1255.0,2B73928C,191,39,Male,White,United States,United States,DATA_EXPIRED,English,No,Part-Time
696ef785a11f20cff288824d,5e6af189bdaa1a0b355f63ae,AWAITING REVIEW,Not Applicable,2026-01-20T03:33:25.739000Z,2026-01-20T03:48:32.229000Z,,2026-01-20T03:48:32.562985Z,907.0,2B73928C,5626,47,Female,White,United Kingdom,United States,United Kingdom,English,No,Full-Time
696ef95246d6b98b1a081c58,6834ed99550874d242f2d86f,AWAITING REVIEW,Not Applicable,2026-01-20T03:41:16.156000Z,2026-01-20T04:04:48.681000Z,,2026-01-20T04:04:49.020838Z,1413.0,2B73928C,714,33,Male,Black,United States,United States,United States,English,No,Part-Time
696ef9793bdb45165b2f6efc,652ecb92078fe073ab29b920,AWAITING REVIEW,Not Applicable,2026-01-20T03:42:02.080000Z,2026-01-20T04:00:15.603000Z,,2026-01-20T04:00:15.916844Z,1094.0,2B73928C,2367,56,Female,White,United States,United States,United States,English,No,Part-Time
696efbd39a19e23308e82880,66537ee0b74eb6e13c4b6f32,AWAITING REVIEW,Not Applicable,2026-01-20T03:51:50.431000Z,2026-01-20T04:06:11.716000Z,,2026-01-20T04:06:12.069852Z,862.0,2B73928C,838,22,Female,Mixed,United States,United States,United States,English,No,Unemployed (and job seeking)
696efde066beee180eadf9a0,5eaa2e6821f5961b9f4d9c04,AWAITING REVIEW,Not Applicable,2026-01-20T04:00:37.748000Z,2026-01-20T04:12:14.488000Z,,2026-01-20T04:12:14.819809Z,697.0,2B73928C,4161,37,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
